linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
why-are-soil-analysis-and-site-preparation-for-installing-steel-support,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
best-practices-for-fabricating-solar-panel-frames-using-galvanised-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.936; metaDescription: 0.969; categoryName: 1.0; timeDuration: 1.0,metaTitle (Similarity: 0.94); metaDescription (Similarity: 0.97),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to0__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to0__0""><a href=""#difflib_chg_to0__top"">t</a></td><td class=""diff_header"" id=""from0_1"">1</td><td nowrap=""nowrap"">why&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;best&nbsp;choice&nbsp;for&nbsp;solar&nbsp;panel&nbsp;fram</td><td class=""diff_next""><a href=""#difflib_chg_to0__top"">t</a></td><td class=""diff_header"" id=""to0_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>why&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;best&nbsp;choice&nbsp;for&nbsp;solar&nbsp;panel</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">es&nbsp;jsw&nbsp;one&nbsp;msme</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;frames&nbsp;jsw&nbsp;one&nbsp;msme</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to1__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to1__0""><a href=""#difflib_chg_to1__top"">t</a></td><td class=""diff_header"" id=""from1_1"">1</td><td nowrap=""nowrap"">find&nbsp;out&nbsp;why&nbsp;hot&nbsp;dip&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;preferred&nbsp;mater</td><td class=""diff_next""><a href=""#difflib_chg_to1__top"">t</a></td><td class=""diff_header"" id=""to1_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>find&nbsp;out&nbsp;why&nbsp;hot&nbsp;dip&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;preferred&nbsp;</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ial&nbsp;for&nbsp;solar&nbsp;panel&nbsp;frames&nbsp;and&nbsp;how&nbsp;to&nbsp;optimise&nbsp;fabrication&nbsp;f</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">material&nbsp;for&nbsp;solar&nbsp;panel&nbsp;frames&nbsp;and&nbsp;how&nbsp;to&nbsp;optimise&nbsp;fabricat</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">or&nbsp;strength&nbsp;corrosion&nbsp;resistance&nbsp;and&nbsp;efficiency</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ion&nbsp;for&nbsp;strength&nbsp;corrosion&nbsp;resistance&nbsp;and&nbsp;efficiency</td></tr>
        </tbody>
    </table>"
why-trade-credit-is-necessary-for-the-steel-industry,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
10-tips-for-maintaining-steel-springs-for-optimal-suspension-performance,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
heat-treatments-and-their-impact-on-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
6-things-to-keep-in-mind-when-buying-steel-online,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-is-tempering-of-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,❌ Missing,,,❌,,
how-do-steel-trucks-meet-the-challenges-of-heavy-duty-applications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-difference-between-tmt-bar-and-round-ms-bar,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
