Slug,Column,extracted_faqs.csv,extracted_strapi_faqs.csv
how-can-i-pay-for-my-order,Description,"You can pay for your order through a link shared with you by your sales representative during the order confirmation process. In case you have any queries on the same, please get in touch with your sales representative.","Test - You can pay for your order through a link shared with you by your sales representative during the order confirmation process. In case you have any queries on the same, please get in touch with your sales representative."
how-can-i-pay-for-my-order,Meta Title,How to Pay for Your Order | JSW One MSME Support,Test - How to Pay for Your Order | JSW One MSME Support
how-can-i-pay-for-my-order,Meta Description,Learn the various payment methods available for your order at JSW One MSME. Visit our support page for detailed instructions on completing your payment.,Test - Learn the various payment methods available for your order at JSW One MSME. Visit our support page for detailed instructions on completing your payment.
how-will-i-be-notified-of-existing-and-upcoming-offers,Description,"Register with us to stay up-to-date on all our offers and discounts.

Click on the 'Register' button at the top right side of our home page. Fill in the form using your name, mobile number, email address and company GSTIN and click 'Submit'.","Test Register with us to stay up-to-date on all our offers and discounts.

Click on the 'Register' button at the top right side of our home page. Fill in the form using your name, mobile number, email address and company GSTIN and click 'Submit'."
how-will-i-be-notified-of-existing-and-upcoming-offers,Meta Title,"Register to Stay Informed on Offers about Steel, Cement, TMT and MOre| JSW One MSME Support","Test Register to Stay Informed on Offers about Steel, Cement, TMT and MOre| JSW One MSME Support"
how-will-i-be-notified-of-existing-and-upcoming-offers,Meta Description,Learn how to get notifications about existing and upcoming offers at JSW One MSME. Visit our support page for details on staying updated with the latest deals.,Test Learn how to get notifications about existing and upcoming offers at JSW One MSME. Visit our support page for details on staying updated with the latest deals.
i-have-a-weighment-gap-what-do-i-do,Meta Title,Resolve Weighment Gaps | JSW One MSME Support,Test Resolve Weighment Gaps | JSW One MSME Support
i-have-a-weighment-gap-what-do-i-do,Meta Description,Facing a weighment gap? Visit JSW One MSME's support page for guidance on resolving weighment discrepancies and ensuring accurate measurements.,Test Facing a weighment gap? Visit JSW One MSME's support page for guidance on resolving weighment discrepancies and ensuring accurate measurements.
how-do-i-get-my-order-invoice,Title,How do I get my order invoice?,Test How do I get my order invoice?
how-do-i-get-my-order-invoice,Description,"A hard copy of the invoice will be sent along with the vehicle at the time of dispatch, and a soft copy of the same will be shared on your registered email address at the time of dispatch.","Test A hard copy of the invoice will be sent along with the vehicle at the time of dispatch, and a soft copy of the same will be shared on your registered email address at the time of dispatch."
how-do-i-get-my-order-invoice,Meta Title,Get Your Order Invoice | JSW One MSME Support,Test Get Your Order Invoice | JSW One MSME Support
how-do-i-get-my-order-invoice,Meta Description,Learn how to obtain your order invoice at JSW One MSME. Visit our support page for easy steps to access and download your invoice quickly.,Test Learn how to obtain your order invoice at JSW One MSME. Visit our support page for easy steps to access and download your invoice quickly.
the-utr-number-shared-with-me-seems-to-be-incorrect-what-do-i-do,Description,You can contact us on +91 7208055523 or email us at support@jswonemsme.com.,Test You can contact us on +91 7208055523 or email us at support@jswonemsme.com.
the-utr-number-shared-with-me-seems-to-be-incorrect-what-do-i-do,Meta Title,Resolve Incorrect UTR Number Issues | JSW One MSME Support,Test Resolve Incorrect UTR Number Issues | JSW One MSME Support
the-utr-number-shared-with-me-seems-to-be-incorrect-what-do-i-do,Meta Description,""" Need help with an incorrect UTR number for your refund or cashback? Visit JSW One MSME's support page for step-by-step guidance on resolving UTR number issues efficiently.""","Testing"" Need help with an incorrect UTR number for your refund or cashback? Visit JSW One MSME's support page for step-by-step guidance on resolving UTR number issues efficiently."""
where-can-i-view-the-ledger-for-my-company-account,Description,"You can view your ledger by clicking on your 'Name' on the top navigation and then clicking on 'Ledger.' Through the ledger you will be able to access the ledger balance with ledger entries with options to download, email and request for ledger statement","Test You can view your ledger by clicking on your 'Name' on the top navigation and then clicking on 'Ledger.' Through the ledger you will be able to access the ledger balance with ledger entries with options to download, email and request for ledger statement"
where-can-i-view-the-ledger-for-my-company-account,Meta Title,View Company Account Ledger | JSW One MSME Help & Support,Test View Company Account Ledger | JSW One MSME Help & Support
where-can-i-view-the-ledger-for-my-company-account,Meta Description,Discover where to access and view the ledger for your company account at JSW One MSME. Get detailed insights and manage your finances effectively.,Test Discover where to access and view the ledger for your company account at JSW One MSME. Get detailed insights and manage your finances effectively.
can-i-change-my-delivery-type-after-order-confirmation,Description,Any delivery-related changes can be made before the order is placed. We cannot alter the delivery mode post-order confirmation.,Test Any delivery-related changes can be made before the order is placed. We cannot alter the delivery mode post-order confirmation.
can-i-change-my-delivery-type-after-order-confirmation,Meta Title,Can I Change My Delivery Type After Order Confirmation? | JSW One MSME Help & Support,Can I Change My Delivery Type After Order Confirmation? | JSW One MSME Help & Support Tesing Jsw
can-i-change-my-delivery-type-after-order-confirmation,Meta Description,Learn about changing delivery types after confirming your order at JSW One MSME. Find answers to your queries and get support for your orders here.,Test Learn about changing delivery types after confirming your order at JSW One MSME. Find answers to your queries and get support for your orders here.
can-i-reinstate-my-cancelled-order,Description,"An order, once processed for cancellation, cannot be reinstated. Feel free to discuss it with your sales representative for further clarity or email us at support@jswonemsme.com.","Test An order, once processed for cancellation, cannot be reinstated. Feel free to discuss it with your sales representative for further clarity or email us at support@jswonemsme.com."
can-i-reinstate-my-cancelled-order,Meta Title,JSW One MSME | Reinstating Cancelled Orders: What You Need to Know,Test JSW One MSME | Reinstating Cancelled Orders: What You Need to Know
can-i-reinstate-my-cancelled-order,Meta Description,Find out if you can reinstate a cancelled order on JSW One's platform and learn about the process involved in reinstating orders for a seamless experience.,Test Find out if you can reinstate a cancelled order on JSW One's platform and learn about the process involved in reinstating orders for a seamless experience.
how-do-i-log-out-of-my-account,Description,"You can logout of your account by clicking on your 'Name' on the top right of the website navigation to access the logout button. To successfully log out of the website, please click on 'Logout'.","Test - You can logout of your account by clicking on your 'Name' on the top right of the website navigation to access the logout button. To successfully log out of the website, please click on 'Logout'."
how-do-i-log-out-of-my-account,Meta Title,JSW One MSME | Logging Out of Your Account: Step-by-Step Guide,Test - JSW One MSME | Logging Out of Your Account: Step-by-Step Guide
how-do-i-log-out-of-my-account,Meta Description,Follow our step-by-step guide to log out of your account on JSW One's platform and ensure the security of your information and account access.,Test - Follow our step-by-step guide to log out of your account on JSW One's platform and ensure the security of your information and account access.
