linkUrl,field,contentful_value,strapi_value,similarity
5-benefits-of-steel-bumpers-for-off-road-enthusiasts,isThisAPrimaryArticle,yes,true,0.286
5-benefits-of-steel-bumpers-for-off-road-enthusiasts,isThisAFeaturedArticle,yes,true,0.286
5-benefits-of-steel-bumpers-for-off-road-enthusiasts,contentfulId,MISSING,MISSING,MISSING
adhesion-challenges-and-solutions-for-cement-based-materials,isThisAPrimaryArticle,yes,true,0.286
adhesion-challenges-and-solutions-for-cement-based-materials,isThisAFeaturedArticle,yes,true,0.286
adhesion-challenges-and-solutions-for-cement-based-materials,contentfulId,MISSING,MISSING,MISSING
what-are-the-various-grades-of-opc,isThisAPrimaryArticle,yes,true,0.286
what-are-the-various-grades-of-opc,isThisAFeaturedArticle,yes,true,0.286
what-are-the-various-grades-of-opc,contentfulId,MISSING,MISSING,MISSING
managing-bulk-procurement-challenges-in-tmt-delivery,isThisAPrimaryArticle,yes,true,0.286
managing-bulk-procurement-challenges-in-tmt-delivery,isThisAFeaturedArticle,yes,true,0.286
managing-bulk-procurement-challenges-in-tmt-delivery,contentfulId,MISSING,MISSING,MISSING
rising-input-costs-and-unstable-steel-prices-a-concern-for-appliance,isThisAPrimaryArticle,n a,,0.0
rising-input-costs-and-unstable-steel-prices-a-concern-for-appliance,isThisAFeaturedArticle,yes,true,0.286
rising-input-costs-and-unstable-steel-prices-a-concern-for-appliance,contentfulId,MISSING,MISSING,MISSING
galvanised-plain-sheets-in-automotive-manufacturing,isThisAPrimaryArticle,yes,true,0.286
galvanised-plain-sheets-in-automotive-manufacturing,isThisAFeaturedArticle,yes,true,0.286
galvanised-plain-sheets-in-automotive-manufacturing,contentfulId,MISSING,MISSING,MISSING
the-importance-of-the-uts-ys-ratio-in-grading-tmt-bars,isThisAPrimaryArticle,n a,,0.0
the-importance-of-the-uts-ys-ratio-in-grading-tmt-bars,isThisAFeaturedArticle,n a,,0.0
the-importance-of-the-uts-ys-ratio-in-grading-tmt-bars,contentfulId,MISSING,MISSING,MISSING
the-journey-of-steel-from-start-to-finish,isThisAPrimaryArticle,n a,,0.0
the-journey-of-steel-from-start-to-finish,isThisAFeaturedArticle,yes,true,0.286
the-journey-of-steel-from-start-to-finish,contentfulId,MISSING,MISSING,MISSING
off-balance-sheet-financing-how-businesses-can-access-funds-without-adding,isThisAPrimaryArticle,n a,,0.0
off-balance-sheet-financing-how-businesses-can-access-funds-without-adding,isThisAFeaturedArticle,n a,,0.0
off-balance-sheet-financing-how-businesses-can-access-funds-without-adding,contentfulId,MISSING,MISSING,MISSING
consumables-corner-role-of-welding-consumables-in-the-construction-industry,isThisAPrimaryArticle,n a,,0.0
consumables-corner-role-of-welding-consumables-in-the-construction-industry,isThisAFeaturedArticle,yes,true,0.286
consumables-corner-role-of-welding-consumables-in-the-construction-industry,contentfulId,MISSING,MISSING,MISSING
8-factors-to-consider-before-buying-cement,isThisAPrimaryArticle,yes,true,0.286
8-factors-to-consider-before-buying-cement,isThisAFeaturedArticle,yes,true,0.286
8-factors-to-consider-before-buying-cement,contentfulId,MISSING,MISSING,MISSING
all-about-eclgs-credit-scheme-for-msmes-hit-by-the-covid-19-pandemic,isThisAPrimaryArticle,yes,true,0.286
all-about-eclgs-credit-scheme-for-msmes-hit-by-the-covid-19-pandemic,isThisAFeaturedArticle,yes,true,0.286
all-about-eclgs-credit-scheme-for-msmes-hit-by-the-covid-19-pandemic,contentfulId,MISSING,MISSING,MISSING
tmt-bars-in-residential-construction,isThisAPrimaryArticle,yes,true,0.286
tmt-bars-in-residential-construction,isThisAFeaturedArticle,yes,true,0.286
tmt-bars-in-residential-construction,contentfulId,MISSING,MISSING,MISSING
unveiling-the-characteristics-types-and-applications-of-colour-coated-steel,isThisAPrimaryArticle,yes,true,0.286
