Slug,Title,Description,Meta Title,Meta Description
what-do-i-do-if-there-is-a-mismatch-in-the-ledger-for-my-company-account,✅,✅,✅,✅
how-can-i-pay-for-my-order,✅,✅,✅,✅
what-should-i-do-if-my-payment-fails,✅,✅,✅,✅
can-i-get-physical-copy-of-the-test-certificate,✅,✅,✅,✅
i-am-still-waiting-to-receive-my-refund-and-or-cashback-how-can-i-get-an,✅,✅,✅,✅
how-can-i-get-endorsed-test-certificate,✅,✅,✅,✅
how-will-i-be-notified-of-existing-and-upcoming-offers,✅,✅,✅,✅
my-refund-and-or-cashback-was-processed-however-it-hasnt-been-credited-yet,✅,✅,✅,✅
why-have-i-not-got-weighment-slip-from-the-sellers-side,✅,✅,✅,✅
can-i-make-a-payment-after-material-delivery,✅,✅,✅,✅
i-have-a-weighment-gap-what-do-i-do,✅,✅,✅,✅
how-do-i-get-test-certificate-for-my-order,✅,✅,✅,✅
will-i-get-refund-of-the-re-weighment-charges,✅,✅,✅,✅
my-invoice-needs-the-correct-amount-name-or-quantity-what-do-i-do,✅,✅,✅,✅
how-do-i-get-my-order-invoice,✅,✅,✅,✅
how-do-i-avail-your-offers-and-discounts,✅,✅,✅,✅
when-can-i-raise-a-weighment-issue,✅,✅,✅,✅
can-i-make-a-payment-using-credit-card,✅,✅,✅,✅
the-amount-was-debited-from-my-account-but-the-order-still-needs-to-be,✅,✅,✅,✅
i-have-received-an-email-asking-me-to-add-bank-details-is-that-a-genuine,✅,✅,✅,✅
i-cannot-avail-the-discount-being-offered-to-me-during-payment-stage-what-to,✅,✅,✅,✅
what-are-the-types-of-finance-options-available-with-you,✅,✅,✅,✅
the-utr-number-shared-with-me-seems-to-be-incorrect-what-do-i-do,✅,✅,✅,✅
where-can-i-view-the-ledger-for-my-company-account,✅,✅,✅,✅
can-i-change-my-delivery-type-after-order-confirmation,✅,✅,✅,✅
can-i-reinstate-my-cancelled-order,✅,✅,✅,✅
how-do-i-log-out-of-my-account,✅,✅,✅,✅
how-can-i-reactivate-my-company-account,✅,✅,✅,✅
i-have-an-issue-with-the-quality-of-the-material-i-will-not-unload-the,✅,✅,✅,✅
i-did-not-receive-the-order-confirmation-what-do-i-do,✅,✅,✅,✅
what-are-the-different-types-of-products-that-are-available,✅,✅,✅,✅
in-how-many-days-can-i-return-the-products-delivered-to-me,✅,✅,✅,✅
how-do-i-add-special-delivery-instructions,✅,✅,✅,✅
can-i-get-a-sample-of-the-product-that-i-wish-to-buy,✅,✅,✅,✅
the-material-was-sent-in-negative-tolerance-when-will-i-receive-my-refund,✅,✅,✅,✅
can-i-add-multiple-addresses,✅,✅,✅,✅
what-are-the-different-options-i-have-for-delivery,✅,✅,✅,✅
can-i-register-using-an-international-number,✅,✅,✅,✅
how-do-i-cancel-my-order,✅,✅,✅,✅
how-do-i-know-the-authenticity-of-the-product-that-i-am-buying,✅,✅,✅,✅
when-will-i-get-the-material-delivery-details,✅,✅,✅,✅
i-forgot-my-login-password-how-do-i-reset,✅,✅,✅,✅
what-if-i-have-an-issue-with-the-material-sent,✅,✅,✅,✅
will-i-get-my-frieght-cost-refunded-in-case-my-order-is-returned-and,✅,✅,✅,✅
if-a-partial-order-is-returned-will-i-get-a-refund-of-the-freight-charges,✅,✅,✅,✅
i-forgot-my-registered-email-address-how-to-recover-it,✅,✅,✅,✅
what-are-the-details-required-to-register-my-company-account,✅,✅,✅,✅
how-do-i-register-my-company-account,✅,✅,✅,✅
it-has-been-more-than-24-hours-and-i-am-yet-to-get-a-call-regarding-the,✅,✅,✅,✅
how-do-i-look-for-a-particular-product-on-jsw-one-msme,✅,✅,✅,✅
can-i-change-the-website-language-of-the-entire-website-for-my-login,✅,✅,✅,✅
will-the-tc-and-weighment-slips-be-shared-with-the-invoice-via-email,✅,✅,✅,✅
why-is-my-order-not-showing-in-my-my-orders-section,✅,✅,✅,✅
how-do-i-change-the-email-address-or-phone-number-in-my-account,✅,✅,✅,✅
can-i-place-an-export-order-through-the-website,✅,✅,✅,✅
can-i-get-my-order-delivered-at-a-specific-time-of-day,✅,✅,✅,✅
how-do-i-request-for-faster-delivery,✅,✅,✅,✅
what-to-do-if-i-receive-a-partial-order-some-items-of-my-order,✅,✅,✅,✅
can-i-return-part-of-the-order-i-placed,✅,✅,✅,✅
how-much-time-will-material-delivery-take,✅,✅,✅,✅
how-do-i-know-that-my-order-is-confirmed,✅,✅,✅,✅
i-want-to-purchase-a-product-but-its-unavailable-online-what-shall-i-do,✅,✅,✅,✅
can-i-register-multiple-times-using-the-same-mobile-number-and-email-address,✅,✅,✅,✅
can-i-get-my-order-delivered-to-an-alternate-address-after-order,✅,✅,✅,✅
how-do-i-delete-my-company-account,✅,✅,✅,✅
can-i-alter-my-order-after-it-is-confirmed,✅,✅,✅,✅
i-would-like-advice-on-what-type-of-steel-to-use-for-the-product-im,✅,✅,✅,✅
how-do-i-log-into-my-account,✅,✅,✅,✅
how-can-i-access-detailed-information-about-a-product-e-g-product,✅,✅,✅,✅
how-do-i-get-the-quotation-price-for-the-product-i-want,✅,✅,✅,✅
how-do-i-check-the-current-status-of-my-order,✅,✅,✅,✅
can-i-return-a-product-because-i-no-longer-need-it,✅,✅,✅,✅
